X: -99.000000, Y: -65.000000, Z: -86.000000, Data: 3.323750
X: -99.000000, Y: -65.000000, Z: -87.000000, Data: 3.135000
X: -99.000000, Y: -66.000000, Z: -87.000000, Data: 3.163750
X: -99.000000, Y: -66.000000, Z: -86.000000, Data: 3.458750
X: -99.000000, Y: -66.000000, Z: -85.000000, Data: 2.996250
X: -99.000000, Y: -66.000000, Z: -84.000000, Data: 2.407500
X: -99.000000, Y: -66.000000, Z: -83.000000, Data: 2.742500
X: -99.000000, Y: -66.000000, Z: -82.000000, Data: 3.266250
X: -99.000000, Y: -66.000000, Z: -81.000000, Data: 3.028750
X: -99.000000, Y: -66.000000, Z: -80.000000, Data: 2.332500
X: -99.000000, Y: -66.000000, Z: -79.000000, Data: 1.840000
X: -99.000000, Y: -66.000000, Z: -78.000000, Data: 1.870000
X: -99.000000, Y: -66.000000, Z: -77.000000, Data: 2.201250
X: -99.000000, Y: -66.000000, Z: -76.000000, Data: 1.846250
X: -99.000000, Y: -66.000000, Z: -75.000000, Data: 1.363750
X: -99.000000, Y: -66.000000, Z: -74.000000, Data: 1.246250
X: -99.000000, Y: -66.000000, Z: -73.000000, Data: 1.095000
X: -99.000000, Y: -66.000000, Z: -72.000000, Data: 0.886250
X: -99.000000, Y: -66.000000, Z: -71.000000, Data: 0.741250
X: -99.000000, Y: -66.000000, Z: -70.000000, Data: 0.653750
X: -99.000000, Y: -66.000000, Z: -69.000000, Data: 0.550000
X: -99.000000, Y: -66.000000, Z: -68.000000, Data: 0.556250
X: -99.000000, Y: -66.000000, Z: -67.000000, Data: 0.622500
X: -99.000000, Y: -66.000000, Z: -66.000000, Data: 0.583750
X: -99.000000, Y: -66.000000, Z: -65.000000, Data: 0.585000
X: -99.000000, Y: -66.000000, Z: -64.000000, Data: 0.583750
X: -99.000000, Y: -66.000000, Z: -63.000000, Data: 0.656250
X: -99.000000, Y: -66.000000, Z: -62.000000, Data: 0.972500
X: -99.000000, Y: -66.000000, Z: -61.000000, Data: 1.283750
X: -99.000000, Y: -66.000000, Z: -60.000000, Data: 2.093750
X: -99.000000, Y: -66.000000, Z: -59.000000, Data: 3.212500
X: -99.000000, Y: -66.000000, Z: -58.000000, Data: 4.406250
X: -99.000000, Y: -66.000000, Z: -57.000000, Data: 5.148750
X: -99.000000, Y: -67.000000, Z: -57.000000, Data: 5.005000
X: -99.000000, Y: -67.000000, Z: -58.000000, Data: 4.321250
X: -99.000000, Y: -67.000000, Z: -59.000000, Data: 3.087500
X: -99.000000, Y: -67.000000, Z: -60.000000, Data: 1.908750
X: -99.000000, Y: -67.000000, Z: -61.000000, Data: 1.208750
X: -99.000000, Y: -67.000000, Z: -62.000000, Data: 0.872500
X: -99.000000, Y: -67.000000, Z: -63.000000, Data: 0.650000
X: -99.000000, Y: -67.000000, Z: -64.000000, Data: 0.573750
X: -99.000000, Y: -67.000000, Z: -65.000000, Data: 0.648750
X: -99.000000, Y: -67.000000, Z: -66.000000, Data: 0.568750
X: -99.000000, Y: -67.000000, Z: -67.000000, Data: 0.553750
X: -99.000000, Y: -67.000000, Z: -68.000000, Data: 0.486250
X: -99.000000, Y: -67.000000, Z: -69.000000, Data: 0.483750
X: -99.000000, Y: -67.000000, Z: -70.000000, Data: 0.648750
X: -99.000000, Y: -67.000000, Z: -71.000000, Data: 0.771250
X: -99.000000, Y: -67.000000, Z: -72.000000, Data: 0.870000
X: -99.000000, Y: -67.000000, Z: -73.000000, Data: 0.985000
X: -99.000000, Y: -67.000000, Z: -74.000000, Data: 1.182500
X: -99.000000, Y: -67.000000, Z: -75.000000, Data: 1.353750
X: -99.000000, Y: -67.000000, Z: -76.000000, Data: 1.795000
X: -99.000000, Y: -67.000000, Z: -77.000000, Data: 2.593750
X: -99.000000, Y: -67.000000, Z: -78.000000, Data: 2.651250
X: -99.000000, Y: -67.000000, Z: -79.000000, Data: 2.101250
X: -99.000000, Y: -67.000000, Z: -80.000000, Data: 2.063750
X: -99.000000, Y: -67.000000, Z: -81.000000, Data: 2.646250
X: -99.000000, Y: -67.000000, Z: -82.000000, Data: 3.431250
X: -99.000000, Y: -67.000000, Z: -83.000000, Data: 3.263750
X: -99.000000, Y: -67.000000, Z: -84.000000, Data: 2.672500
X: -99.000000, Y: -67.000000, Z: -85.000000, Data: 2.791250
X: -99.000000, Y: -67.000000, Z: -86.000000, Data: 3.428750
X: -99.000000, Y: -67.000000, Z: -87.000000, Data: 3.482500
